Program,Program Link,Station Name,MEA Contribution,Address,City,State,ZipCode,Location,Access
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,LifeBridge Health - Belvedere Garage,,2455-2491 W Belvedere Ave,Baltimore,MD,21215,"2455-2491 W Belvedere Ave
Baltimore, Maryland 21215
(39.33975031400047, -76.68545821299966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,FastPark,,1718 W Nursery Rd,Linthicum Heights,MD,21090,"1718 W Nursery Rd
Linthicum Heights, Maryland 21090
(39.197897741000475, -76.68352785999963)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Harbor East - Whole Foods Market,12796.30,604 S Exeter St,Baltimore,MD,21202,"604 S Exeter St
Baltimore, Maryland 21202
(39.28411465300047, -76.60030068199967)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,W Express,,5143 River Road,Bethesda,MD,20816,"5143 River Road
Bethesda, Maryland 20816
(38.9643144100005, -77.10294386699968)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,199.00,,Cambridge,MD,21613,"Cambridge, Maryland 21613
(38.56217085700047, -76.08838622699966)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,MOM's Organic Market - Timonium,,20 W Ridgley Rd,Lutherville-Timonium,MD,21093,"20 W Ridgley Rd
Lutherville-Timonium, Maryland 21093
(39.43007422700049, -76.62171062299967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Columbia,MD,21045,"Columbia, Maryland 21045
(39.205861697000444, -76.82756725299964)",
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,109.80,,North Potomac,MD,20878,"North Potomac, Maryland 20878
(39.11832287100049, -77.23415983199965)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Century Ford,,302 Century Dr,Mount Airy,MD,21771,"302 Century Dr
Mount Airy, Maryland 21771
(39.367873542000495, -77.14261921899964)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,University of Maryland,,"Motor Transportation Services, Bld 011",College Park,MD,20740,"Motor Transportation Services, Bld 011
College Park, Maryland 20740
(38.9967235470005, -76.92870594499965)",Private
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Dorsey Building - Howard County,31990.75,9250 Bendix Rd,Columbia,MD,21045,"9250 Bendix Rd
Columbia, Maryland 21045
(39.235382880000486, -76.82946021699968)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,139.99,,Rockville,MD,20853,"Rockville, Maryland 20853
(39.093343434000474, -77.09399864499966)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,MedImmune Ventures - Employee Parking Lot,,101 Orchard Ridge Dr,Gaithersburg,MD,20878,"101 Orchard Ridge Dr
Gaithersburg, Maryland 20878
(39.12749762100049, -77.23203266499968)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,169.80,,Frederick,MD,21704,"Frederick, Maryland 21704
(39.36091321800046, -77.38237665899965)",
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,The Tower Companies - The Blairs Shopping Center,12796.30,1220 East West Hwy,Silver Spring,MD,20910,"1220 East West Hwy
Silver Spring, Maryland 20910
(38.99170980200046, -77.03057288999963)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Little Italy Garage,14929.56,400 S Central Ave,Baltimore,MD,21202,"400 S Central Ave
Baltimore, Maryland 21202
(39.28598820200045, -76.59925593599968)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,5585 Twin Knolls Rd,Columbia,MD,21045,"5585 Twin Knolls Rd
Columbia, Maryland 21045
(39.21957717300046, -76.84012220199963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Sheehy Nissan,,7232 Ritchie Hwy,Glen Burnie,MD,21061,"7232 Ritchie Hwy
Glen Burnie, Maryland 21061
(39.172867614000495, -76.61898938299964)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Baltimore Washington International Airport (BWI) - Hourly Parking Garage,25592.60,7062 Elm Rd,Baltimore,MD,21240,"7062 Elm Rd
Baltimore, Maryland 21240
(39.18851128500046, -76.67579522499966)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Texaco,,6400 New Hampshire Ave,Takoma Park,MD,20912,"6400 New Hampshire Ave
Takoma Park, Maryland 20912
(38.967215885000485, -77.00150465599967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Bethesda,MD,20816,"Bethesda, Maryland 20816
(38.95808341300045, -77.11365979399966)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,State of Maryland Capital Complex - Calvert Street Parking Garage,,29 Saint Johns St,Annapolis,MD,21401,"29 Saint Johns St
Annapolis, Maryland 21401
(38.981654954000476, -76.49358455299966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Shirlen Building,,8725 Loch Raven Blvd,Towson,MD,21286,"8725 Loch Raven Blvd
Towson, Maryland 21286
(39.39870846000048, -76.56387406899967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Frederick Nissan,,7418 Grove Rd,Frederick,MD,21704,"7418 Grove Rd
Frederick, Maryland 21704
(39.39065802800047, -77.40787721599963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,9621 Belair Rd,Baltimore,MD,21236,"9621 Belair Rd
Baltimore, Maryland 21236
(39.413388032000455, -76.46314121999967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Rockville,MD,20853,"Rockville, Maryland 20853
(39.093343434000474, -77.09399864499966)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Shirlen Building,,2108 Emmorton Rd,Bel Air,MD,21015,"2108 Emmorton Rd
Bel Air, Maryland 21015
(39.49876027300047, -76.32532332499966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland-College Park - Lot U4,,4116-4138 Mowatt Ln,College Park,MD,20740,"4116-4138 Mowatt Ln
College Park, Maryland 20740
(38.981291988000464, -76.94484839099965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Baltimore County Revenue Authority - Tolbert Garage,,108 Ware Ave,Towson,MD,21204,"108 Ware Ave
Towson, Maryland 21204
(39.40321750700048, -76.60513297699964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland,,220 Arch St,Baltimore,MD,21201,"220 Arch St
Baltimore, Maryland 21201
(39.29226794100049, -76.62532597499967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,SunTrust Bank,,10415 Old Georgetown Rd,Bethesda,MD,20814,"10415 Old Georgetown Rd
Bethesda, Maryland 20814
(39.02580985300045, -77.12576009099968)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,585 Marketplace Dr,Bel Air,MD,21014,"585 Marketplace Dr
Bel Air, Maryland 21014
(39.52436606500049, -76.34974998099966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,5657 Baltimore National Pike,Catonsville,MD,21228,"5657 Baltimore National Pike
Catonsville, Maryland 21228
(39.28875050400046, -76.72823641899964)",Public
Biodiesel Refueling Stations,http://energy.maryland.gov/Transportation/biodieselRefueling.html,Cato Pacific Pride Fuel,,436 Eastern Shore Dr,Salisbury,MD,21804,"436 Eastern Shore Dr
Salisbury, Maryland 21804
(38.36049886300049, -75.59553397699966)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,240.00,,Edgewater,MD,21037,"Edgewater, Maryland 21037
(38.918122397000445, -76.54171803099968)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Annapolis Friends Meeting,,351 Dubois Ave,Annapolis,MD,21401,"351 Dubois Ave
Annapolis, Maryland 21401
(39.00173904900049, -76.52447143999967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,7901 Ritchie Hwy,Glen Burnie,MD,21061,"7901 Ritchie Hwy
Glen Burnie, Maryland 21061
(39.1403117480005, -76.60233776899963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland - Lexington Garage,,600 W Lexington St,Baltimore,MD,21201,"600 W Lexington St
Baltimore, Maryland 21201
(39.29167810500047, -76.62395205999968)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Montgomery County,,16640 Crabbs Branch Way,Rockville,MD,20855,"16640 Crabbs Branch Way
Rockville, Maryland 20855
(39.127680892000456, -77.16697801599963)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,Advanced Tech & Research,98.00,6650 Eli Whitney Drive,Columbia,MD,21046,"6650 Eli Whitney Drive
Columbia, Maryland 21046
(39.182811916000446, -76.80627296099965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,JBG - Woodglen Drive,,11351 Woodglen Dr,Rockville,MD,20852,"11351 Woodglen Dr
Rockville, Maryland 20852
(39.04255307000045, -77.11329419599963)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Chevron,,1395 West Patrick St,Frederick,MD,21702,"1395 West Patrick St
Frederick, Maryland 21702
(39.41946379100045, -77.46012913099963)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Chevy Chase,MD,20815,"Chevy Chase, Maryland 20815
(38.977953123000475, -77.08250610499965)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,City of Towson - Union Garage,,8000 York Rd,Towson,MD,21252,"8000 York Rd
Towson, Maryland 21252
(39.39299146500048, -76.60449676599967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland - College Park - Chesapeake Building,,3115 Chesapeake Bldg,College Park,MD,20742,"3115 Chesapeake Bldg
College Park, Maryland 20742
(38.98748172100045, -76.94219718699964)",Public
